"id","municipality","source_school","name","display_name","kana","population","mesh_count","rep_meshcode","lat","lon"
"d01","山形市","みはらしの丘小学校","みはらしの丘地区","","みはらしのおか",3832,9,574022331,38.19375,140.290625
"d02","山形市","出羽小学校","出羽地区","","でわ",7222,21,574032784,38.314583,140.359375
"d03","山形市","千歳小学校","千歳地区","","ちとせ",7942,18,574032471,38.285417,140.340625
"d04","山形市","南小学校","南地区","","みなみ",11713,9,574022663,38.222917,140.328125
"d05","山形市","南山形小学校","南山形地区","","みなみやまがた",6838,26,574022443,38.20625,140.303125
"d06","山形市","南沼原小学校","南沼原地区","","みなみぬまはら",17679,24,574022842,38.235417,140.309375
"d07","山形市","大曽根小学校","大曽根地区","","おおそね",1593,18,574032123,38.264583,140.278125
"d08","山形市","大郷小学校","大郷地区","","おおさと",4257,27,574032634,38.30625,140.296875
"d09","山形市","宮浦小学校","宮浦地区","","みやうら",4775,22,574032034,38.25625,140.296875
"d10","山形市","山寺小学校","山寺地区","","やまでら",1152,17,574033742,38.310417,140.434375
"d11","山形市","明治小学校","明治地区","","めいじ",1839,13,574042042,38.335417,140.309375
"d12","山形市","本沢小学校","本沢地区","","もとさわ",2614,30,574022523,38.214583,140.278125
"d13","山形市","村木沢小学校","村木沢地区","","むらきざわ",2059,24,574022913,38.247917,140.265625
"d14","山形市","東小学校","東地区","","ひがし",5417,5,574032283,38.272917,140.353125
"d15","山形市","東沢小学校","東沢地区","","ひがしさわ",3684,32,574022894,38.239583,140.371875
"d16","山形市","桜田小学校","桜田地区","","さくらだ",7659,6,574022651,38.21875,140.315625
"d17","山形市","楯山小学校","楯山地区","","たてやま",4019,20,574032684,38.30625,140.359375
"d18","山形市","滝山小学校","滝山地区","","たきやま",14101,36,574022662,38.21875,140.334375
"d19","山形市","第一小学校","第一地区","","だいいち",4579,4,574032062,38.252083,140.334375
"d20","山形市","第七小学校","第七地区","","だいなな",9583,8,574032264,38.272917,140.334375
"d21","山形市","第三小学校","第三地区","","だいさん",7322,7,574032271,38.26875,140.340625
"d22","山形市","第九小学校","第九地区","","だいく",6602,6,574032454,38.289583,140.321875
"d23","山形市","第二小学校","第二地区","","だいに",8937,5,574022961,38.24375,140.328125
"d24","山形市","第五小学校","第五地区","","だいご",9189,6,574022973,38.247917,140.340625
"d25","山形市","第八小学校","第八地区","","だいはち",11892,12,574022983,38.247917,140.353125
"d26","山形市","第六小学校","第六地区","","だいろく",10984,8,574022873,38.239583,140.340625
"d27","山形市","第十小学校","第十地区","","だいじゅう",10825,10,574022953,38.247917,140.315625
"d28","山形市","第四小学校","第四地区","","だいよん",5815,5,574032162,38.260417,140.334375
"d29","山形市","蔵王第一小学校","蔵王第一地区","","ざおうだいいち",8435,20,574022563,38.214583,140.328125
"d30","山形市","蔵王第三小学校","蔵王第三地区","","ざおうだいさん",355,12,574023012,38.16875,140.396875
"d31","山形市","蔵王第二小学校","蔵王第二地区","","ざおうだいに",2292,22,574022251,38.185417,140.315625
"d32","山形市","西小学校","西地区","","にし",8079,5,574032154,38.264583,140.321875
"d33","山形市","西山形小学校","西山形地区","","にしやまがた",2068,28,574022811,38.235417,140.265625
"d34","山形市","金井小学校","金井地区","","かない",14476,35,574032352,38.277083,140.321875
"d35","山形市","鈴川小学校","鈴川地区","","すずかわ",14301,23,574032281,38.26875,140.353125
"d36","山形市","高瀬小学校","高瀬地区","","たかせ",3178,27,574033613,38.30625,140.390625
"d37","上山市","上山小学校","上山地区","","かみのやま",10032,41,574022022,38.16875,140.284375
"d38","上山市","中川小学校","中川地区","","なかがわ",3950,47,574012951,38.160417,140.315625
"d39","上山市","南小学校","南地区","","みなみ",10030,28,574012624,38.139583,140.284375
"d40","上山市","宮川小学校","宮川地区","","みやがわ",2411,55,574012451,38.11875,140.315625
"d41","上山市","西郷第一小学校","西郷第一地区","","にしごうだいいち",2752,46,574011473,38.122917,140.215625
