"sub_id","parent_id","municipality","name","display_name","kana","population","mesh_count","rep_meshcode","lat","lon"
"d07a","d07","山形市","大曽根地区(にし)","大曽根地区(ひがし)","おおそね(ひがし)","949","9","574032123","38.264583","140.278125"
"d07b","d07","山形市","大曽根地区(にし)","大曽根地区(にし)","おおそね(にし)","644","9","574032201","38.26875","140.253125"
"d08a","d08","山形市","大郷地区(ひがし)","大郷地区(にし)","おおさと(にし)","2271","11","574032634","38.30625","140.296875"
"d08b","d08","山形市","大郷地区(ひがし)","大郷地区(みなみ)","おおさと(みなみ)","1095","9","574032461","38.285417","140.328125"
"d08c","d08","山形市","大郷地区(ひがし)","大郷地区(きた)","おおさと(きた)","891","7","574032851","38.31875","140.315625"
"d11a","d11","山形市","明治地区(ひがし)","","めいじ(ひがし)","935","6","574042042","38.335417","140.309375"
"d11b","d11","山形市","明治地区(みなみ)","","めいじ(みなみ)","904","7","574032852","38.31875","140.321875"
"d15a","d15","山形市","東沢地区(ひがし)","東沢地区(にし)","ひがしさわ(にし)","2675","11","574022894","38.239583","140.371875"
"d15b","d15","山形市","東沢地区(ひがし)","東沢地区(ひがし)","ひがしさわ(ひがし)","985","19","574023723","38.23125","140.403125"
"d15c","d15","山形市","東沢地区(みなみ)","東沢地区(みなみ)","ひがしさわ(みなみ)","24","2","574023032","38.16875","140.421875"
"d36a","d36","山形市","高瀬地区(にし)","","たかせ(にし)","2055","11","574033613","38.30625","140.390625"
"d36b","d36","山形市","高瀬地区(みなみ)","","たかせ(みなみ)","1123","16","574033423","38.289583","140.403125"
"d38a","d38","上山市","中川地区(きた)","中川地区(きた)","なかがわ(きた)","2370","21","574022043","38.172917","140.303125"
"d38b","d38","上山市","中川地区(ひがし)","中川地区(ひがし)","なかがわ(ひがし)","1518","23","574012951","38.160417","140.315625"
"d38c","d38","上山市","中川地区(ひがし)","中川地区(みなみ)","なかがわ(みなみ)","62","3","574013503","38.13125","140.378125"
"d40a","d40","上山市","宮川地区(にし)","","みやがわ(にし)","1448","21","574012451","38.11875","140.315625"
"d40b","d40","上山市","宮川地区(みなみ)","","みやがわ(みなみ)","643","17","574012144","38.097917","140.309375"
"d40c","d40","上山市","宮川地区(ひがし)","","みやがわ(ひがし)","320","17","574012164","38.097917","140.334375"
"d41a","d41","上山市","西郷第一地区(ひがし)","西郷第一地区(ひがし)","にしごうだいいち(ひがし)","1193","18","574012533","38.13125","140.290625"
"d41b","d41","上山市","西郷第一地区(ひがし)","西郷第一地区(みなみ)","にしごうだいいち(みなみ)","962","16","574012304","38.114583","140.259375"
"d41c","d41","上山市","西郷第一地区(ひがし)","西郷第一地区(にし)","にしごうだいいち(にし)","597","12","574011473","38.122917","140.215625"
